case	version	outcome	parser_messages	status	errors	validated_status	identical_to_control	shapes
issue-306	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Body:structure, openapi#GetItem:operation, openapi#GetItem200:structure, openapi#GetItemInput:structure, openapi#OpenapiService:service
issue-306	3.1.0	unsupported schema/feature	0	success	5	failure		error#Active:structure, error#Count:structure, error#Id:structure, error#Name:structure, openapi#Body:structure, openapi#GetItem:operation, openapi#GetItem200:structure, openapi#GetItemInput:structure, openapi#OpenapiService:service
scalar-string	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
scalar-string	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
scalar-integer	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:integer
scalar-integer	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
scalar-number	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:double
scalar-number	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
scalar-boolean	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:boolean
scalar-boolean	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-date	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
format-date	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-date-time	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:timestamp
format-date-time	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-uuid	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
format-uuid	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-byte	3.0.3	exception	0	exception	0	exception		
format-byte	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-binary	3.0.3	exception	0	exception	0	exception		
format-binary	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-password	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
format-password	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-email	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
format-email	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-local-date	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
format-local-date	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-int16	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:short
format-int16	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-int32	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:integer
format-int32	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-int64	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:long
format-int64	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-float	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:float
format-float	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
format-double	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:double
format-double	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
string-enum	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:enum
string-enum	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
integer-enum	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:integer
integer-enum	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
string-constraints	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:string
string-constraints	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
integer-range	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:integer
integer-range	3.1.0	unsupported schema/feature	0	success	1	failure		error#Value:structure
object-empty	3.0.3	no diagnostics (inspect semantics)	0	success	0	success		openapi#Value:document
